Date,DAU,DNU,retain_rate_1,Old_DAU
2018/11/1,54006,8480,44.01%,45526
2018/11/2,62012,8704,43.90%,53308
2018/11/3,70226,12324,46.37%,57902
2018/11/4,82710,17372,42.26%,65338
2018/11/5,78599,11168,46.39%,67431
2018/11/6,76271,8364,46.53%,67907
2018/11/7,77154,8493,47.24%,68661
2018/11/8,75958,6777,46.54%,69181
2018/11/9,74722,5635,45.93%,69087
2018/11/10,76785,7919,45.75%,68866
2018/11/11,82334,11526,44.15%,70808
2018/11/12,82248,9246,42.78%,73002
2018/11/13,82454,10130,45.89%,72324
2018/11/14,81087,8166,45.79%,72921
2018/11/15,80462,7195,44.91%,73267
2018/11/16,78648,6096,45.52%,72552
2018/11/17,80605,7602,45.20%,73003
2018/11/18,83931,9305,44.16%,74626
2018/11/19,80763,6707,45.62%,74056
2018/11/20,80438,6546,46.61%,73892
2018/11/21,80147,7311,46.53%,72836
2018/11/22,78803,7067,47.11%,71736
2018/11/23,82424,9960,45.63%,72464
2018/11/24,86886,11692,45.98%,75194
2018/11/25,98429,20108,42.52%,78321
2018/11/26,92178,11629,43.49%,80549
2018/11/27,89997,10430,46.20%,79567
2018/11/28,89440,9795,44.92%,79645
2018/11/29,87312,8059,45.56%,79253
2018/11/30,86832,8286,46.37%,78546
2018/12/1,94111,14634,44.93%,79477
2018/12/2,105088,21635,42.90%,83453
2018/12/3,106555,20370,44.67%,86185
2018/12/4,102685,14214,46.62%,88471
2018/12/5,98276,9684,46.55%,88592
2018/12/6,96039,8802,46.84%,87237
2018/12/7,95024,8955,46.57%,86069
2018/12/8,100971,13579,46.02%,87392
2018/12/9,105104,14189,44.20%,90915
2018/12/10,102394,12361,47.35%,90033
2018/12/11,100308,10744,48.17%,89564
2018/12/12,100821,10916,47.17%,89905
2018/12/13,98933,8822,48.28%,90111
2018/12/14,96540,7389,45.03%,89151
2018/12/15,98916,10251,45.47%,88665
2018/12/16,103006,12560,41.71%,90446
2018/12/17,96819,8532,46.14%,88287
2018/12/18,92705,8692,49.61%,84013
2018/12/19,97112,10158,47.52%,86954
2018/12/20,99883,10775,45.79%,89108
2018/12/21,100622,11012,45.97%,89610
2018/12/22,106836,16603,46.12%,90233
2018/12/23,116122,21778,44.01%,94344
2018/12/24,119678,23856,42.97%,95822
2018/12/25,116517,19349,43.26%,97168
2018/12/26,123259,21758,47.13%,101501
2018/12/27,138881,31561,47.56%,107320
2018/12/28,145882,30072,46.46%,115810
2018/12/29,148315,28062,45.42%,120253
2018/12/30,153839,28833,43.20%,125006
2018/12/31,142790,20010,45.21%,122780
